allsides_media_bias_ratings/publication/source_name,allsides_media_bias_ratings/publication/source_type,allsides_media_bias_ratings/publication/media_bias_rating,allsides_media_bias_ratings/publication/source_url,allsides_media_bias_ratings/publication/allsides_url
Alamosa News,News Media,Center,https://www.alamosanews.com/,https://www.allsides.com/news-source/alamosa-news-media-bias
Albany Democrat-Herald,News Media,Center,https://democratherald.com/,https://www.allsides.com/news-source/albany-democrat-herald-media-bias
Albert Lea Tribune,News Media,Center,https://www.albertleatribune.com/,https://www.allsides.com/news-source/albert-lea-tribune-media-bias
Albuquerque Journal,News Media,Center,https://www.abqjournal.com/,https://www.allsides.com/news-source/albuquerque-journal-media-bias
Alleghany News,News Media,Center,https://www.alleghanynews.com/,https://www.allsides.com/news-source/alleghany-news-media-bias
AllSides,News Media,Mixed,http://www.allsides.com,https://www.allsides.com/news-source/allsides
Alpha News,News Media,Right,https://alphanews.org/,https://www.allsides.com/news-source/alpha-news-media-bias
AlterNet,News Media,Left,http://www.alternet.org/,https://www.allsides.com/news-source/alternet-media-bias
America's 1st Freedom,News Media,Lean Right,https://www.americas1stfreedom.org/,https://www.allsides.com/news-source/americas-1st-freedom-media-bias
American Conservation Coalition,Think Tank / Policy Group,Lean Right,https://www.acc.eco/,https://www.allsides.com/news-source/american-conservation-coalition-media-bias
American Conservative Union,Think Tank / Policy Group,Right,http://conservative.org/,https://www.allsides.com/news-source/american-conservative-union
American Enterprise Institute,Think Tank / Policy Group,Lean Right,,https://www.allsides.com/news-source/american-enterprise-institute
American Greatness,News Media,Right,https://amgreatness.com/,https://www.allsides.com/news-source/american-greatness-media-bias
American Press,News Media,Lean Left,http://www.americanpress.com/,https://www.allsides.com/news-source/american-press
American Psychological Association,Reference,Center,https://www.apa.org/,https://www.allsides.com/news-source/american-psychological-association-media-bias
American Thinker,News Media,Right,http://www.americanthinker.com/,https://www.allsides.com/news-source/american-thinker
American Values Coalition,Think Tank / Policy Group,Center,https://americanvalues.org/,https://www.allsides.com/news-source/american-values-coalition-media-bias
Americans for Democratic Action,Think Tank / Policy Group,Left,http://www.adaction.org,https://www.allsides.com/news-source/americans-democratic-action
Americans for Tax Reform,Think Tank / Policy Group,Right,http://www.atr.org/,https://www.allsides.com/news-source/americans-tax-reform
Ammo.com,Reference,Right,https://ammo.com/,https://www.allsides.com/news-source/ammocom-media-bias
Amnesty International,Think Tank / Policy Group,Lean Left,https://www.amnesty.org/,https://www.allsides.com/news-source/amnesty-international
Anchorage Daily News,News Media,Center,https://www.adn.com/,https://www.allsides.com/news-source/anchorage-daily-news
Anchorage Press,News Media,Center,https://www.anchoragepress.com/,https://www.allsides.com/news-source/anchorage-press-media-bias
Anderson Independent-Mail,News Media,Center,https://www.independentmail.com/,https://www.allsides.com/news-source/anderson-independent-mail-media-bias
Aquinas College Saint,News Media,Left,https://thesaintaq.com/,https://www.allsides.com/news-source/aquinas-college-saint
Arc Digital,News Media,Center,https://www.arcdigital.media/,https://www.allsides.com/news-source/arc-digital-media-bias
Argus Leader,News Media,Center,https://www.argusleader.com/,https://www.allsides.com/news-source/argus-leader-media-bias
Arizona Daily Star: tucson.com,News Media,Center,https://tucson.com/,https://www.allsides.com/news-source/arizona-daily-star-tucsoncom-media-bias
Arizona Mirror,News Media,Center,https://www.azmirror.com/,https://www.allsides.com/news-source/arizona-mirror-media-bias
Arkansas Democrat-Gazette,News Media,Left,http://www.arkansasonline.com/,https://www.allsides.com/news-source/arkansas-democrat-gazette
Ars Technica,News Media,Center,https://arstechnica.com/,https://www.allsides.com/news-source/ars-technica-media-bias
Asbury Park Press,News Media,Center,https://www.app.com/,https://www.allsides.com/news-source/asbury-park-press-media-bias
Associated Press,News Media,Lean Left,https://apnews.com/,https://www.allsides.com/news-source/associated-press-media-bias
Associated Press Fact Check,News Media,Lean Left,https://apnews.com/hub/ap-fact-check,https://www.allsides.com/news-source/ap-fact-check-media-bias
Association for Psychological Science,Think Tank / Policy Group,Center,http://www.psychologicalscience.org/,https://www.allsides.com/news-source/association-psychological-science
Atlanta Black Star,News Media,Lean Left,https://atlantablackstar.com/,https://www.allsides.com/news-source/atlanta-black-star-media-bias
Atlanta Journal-Constitution,News Media,Lean Left,http://www.ajc.com/,https://www.allsides.com/news-source/atlanta-journal-constitution
Atlas Network,Think Tank / Policy Group,Right,https://www.atlasnetwork.org/,https://www.allsides.com/news-source/atlas-network
AtlasOne,Think Tank / Policy Group,Lean Right,http://atlasone.org/,https://www.allsides.com/news-source/atlasone
Attitude Magazine,News Media,Lean Left,https://attitude.co.uk/,https://www.allsides.com/news-source/attitude-magazine-media-bias
Austin American-Statesman,News Media,Lean Left,http://www.mystatesman.com/,https://www.allsides.com/news-source/austin-american-statesman
Austin Daily Herald,News Media,Center,https://www.austindailyherald.com/,https://www.allsides.com/news-source/austin-daily-herald-media-bias
Avenue News,News Media,Center,https://www.avenuenews.com/,https://www.allsides.com/news-source/avenue-news-media-bias
Avoyelles Journal,News Media,Center,https://www.avoyellestoday.com/,https://www.allsides.com/news-source/avoyelles-journal-media-bias
Axios,News Media,Lean Left,https://www.axios.com/,https://www.allsides.com/news-source/axios
AZ Central,News Media,Center,https://www.azcentral.com/,https://www.allsides.com/news-source/az-central-media-bias
azcentral,News Media,Center,https://www.azcentral.com/,https://www.allsides.com/news-source/azcentral-media-bias
Babylon Bee (Humor),News Media,Lean Right,https://babylonbee.com/,https://www.allsides.com/news-source/babylon-bee-media-bias
Ballotpedia,Reference,Center,http://ballotpedia.org/,https://www.allsides.com/news-source/ballotpedia
Baltimore Sun,News Media,Center,https://www.baltimoresun.com/,https://www.allsides.com/news-source/baltimore-sun
Bangor Daily News,News Media,Lean Left,https://www.bangordailynews.com/,https://www.allsides.com/news-source/bangor-daily-news-media-bias
Baptist News Global,News Media,Lean Left,https://baptistnews.com/,https://www.allsides.com/news-source/baptist-news-global-media-bias
Baptist Press,News Media,Center,https://www.baptistpress.com/,https://www.allsides.com/news-source/baptist-press-media-bias
Baptist Standard,News Media,Center,https://www.baptiststandard.com/,https://www.allsides.com/news-source/baptist-standard-media-bias
Barnstable Patriot,News Media,Center,http://www.barnstablepatriot.com/,https://www.allsides.com/news-source/barnstable-patriot
Barron's,News Media,Center,https://www.barrons.com/,https://www.allsides.com/news-source/barrons-media-bias
Bartlesville Examiner-Enterprise,News Media,Center,https://www.examiner-enterprise.com/,https://www.allsides.com/news-source/bartlesville-examiner-enterprise-media-bias
BBC Fact Check,Fact Check,Center,https://www.bbc.com/news/reality_check,https://www.allsides.com/news-source/reality-check-bbc-media-bias
BBC News,News Media,Center,http://www.bbc.com/,https://www.allsides.com/news-source/bbc-news-media-bias
Bearing Drift,News Media,Right,http://www.bearingdrift.com,https://www.allsides.com/news-source/bearing-drift
Beaumont Enterprise,News Media,Center,https://www.beaumontenterprise.com/,https://www.allsides.com/news-source/beaumont-enterprise-media-bias
Beaver County Times,News Media,Center,https://www.timesonline.com/,https://www.allsides.com/news-source/beaver-county-times-media-bias
Belleville News-Democrat,News Media,Center,https://www.bnd.com/,https://www.allsides.com/news-source/belleville-news-democrat-media-bias
Bergen Record (northjersey.com),News Media,Lean Left,https://www.northjersey.com/,https://www.allsides.com/news-source/bergen-record-northjerseycom-media-bias
BET,News Media,Lean Left,https://www.bet.com/,https://www.allsides.com/news-source/bet-media-bias
Better Government Association,Think Tank / Policy Group,Center,,https://www.allsides.com/news-source/better-government-association-media-bias
Beyond Today,News Media,Right,https://www.ucg.org/beyond-today,https://www.allsides.com/news-source/beyond-today-media-bias
Biblical Gender Roles,News Media,Right,https://biblicalgenderroles.com/,https://www.allsides.com/news-source/biblical-gender-roles-media-bias
Biblical Sexology,News Media,Right,https://biblicalsexology.com/,https://www.allsides.com/news-source/biblical-sexology-media-bias
Billings Gazette,News Media,Center,https://billingsgazette.com/,https://www.allsides.com/news-source/billings-gazette-media-bias
Bing News,News Media,Lean Left,https://www.bing.com/news,https://www.allsides.com/news-source/bing-news-media-bias
Bipartisan Policy Center,Think Tank / Policy Group,Center,https://bipartisanpolicy.org/,https://www.allsides.com/news-source/bipartisan-policy-center-media-bias-0
Bizpac Review,News Media,Right,https://www.bizpacreview.com/,https://www.allsides.com/news-source/bizpac-review-media-bias
Black Agenda Report,News Media,Left,https://blackagendareport.com/,https://www.allsides.com/news-source/black-agenda-report-media-bias
Black Community News,News Media,Right,https://blackcommunitynews.com/,https://www.allsides.com/news-source/black-community-news-media-bias
Black Enterprise,News Media,Lean Left,https://www.blackenterprise.com/,https://www.allsides.com/news-source/black-enterprise-media-bias
Black News,News Media,Left,https://blacknews.com/,https://www.allsides.com/news-source/black-news-media-bias
Black News Channel,News Media,Lean Left,https://bnc.tv/,https://www.allsides.com/news-source/black-news-channel-media-bias
Blavity,News Media,Left,https://blavity.com/,https://www.allsides.com/news-source/blavity-media-bias
Block Club Chicago,News Media,Left,https://blockclubchicago.org/,https://www.allsides.com/news-source/book-club-chicago-media-bias
Bloomberg,News Media,Lean Left,http://www.bloomberg.com/,https://www.allsides.com/news-source/bloomberg-media-bias
Blue Virginia,News Media,Left,http://www.bluevirginia.us,https://www.allsides.com/news-source/blue-virginia
Bluefield Daily Telegraph,News Media,Center,https://www.bdtonline.com/,https://www.allsides.com/news-source/bluefield-daily-telegraph-media-bias
Boing Boing,News Media,Left,http://boingboing.net/,https://www.allsides.com/news-source/boing-boing
Bolts,News Media,Left,https://boltsmag.org/,https://www.allsides.com/news-source/bolts-media-bias
Bonner County Daily Bee,News Media,Center,https://bonnercountydailybee.com/,https://www.allsides.com/news-source/bonner-county-daily-bee-media-bias
BorderReport,News Media,Center,https://www.borderreport.com/,https://www.allsides.com/news-source/borderreport-media-bias
Boston Herald,News Media,Lean Right,https://www.bostonherald.com/,https://www.allsides.com/news-source/boston-herald-media-bias
Boston Review,News Media,Lean Left,https://www.bostonreview.net/,https://www.allsides.com/news-source/boston-review-media-bias
Bowling Green Daily News,News Media,Lean Left,http://www.bgdailynews.com/,https://www.allsides.com/news-source/bowling-green-daily-news
Box Elder News Journal,News Media,Center,https://www.benewsjournal.com/,https://www.allsides.com/news-source/box-elder-news-journal-media-bias
Bozeman Daily Chronicle,News Media,Center,https://www.bozemandailychronicle.com/,https://www.allsides.com/news-source/bozeman-daily-chronicle-media-bias
Braver Angels,Think Tank / Policy Group,Mixed,https://braverangels.org/,https://www.allsides.com/news-source/braver-angels-media-bias
Breitbart Fact Check,Fact Check,Right,https://www.breitbart.com/tag/fact-check/,https://www.allsides.com/news-source/breitbart-fact-check-media-bias
Breitbart News,News Media,Right,http://www.breitbart.com/,https://www.allsides.com/news-source/breitbart
Brendan O'Hare,Humor & Satire,Lean Left,,https://www.allsides.com/news-source/brendan-ohare-media-bias
Brennan Center for Justice,Think Tank / Policy Group,Lean Left,,https://www.allsides.com/news-source/brennan-center-justice-media-bias
Bret Weinstein's DarkHorse Podcast,Video,Center,https://www.youtube.com/c/BretWeinsteinDarkHorse/playlists,https://www.allsides.com/news-source/bret-weinsteins-darkhorse-podcast-media-bias
Bridge Alliance,Think Tank / Policy Group,Lean Left,https://www.bridgealliance.us/,https://www.allsides.com/news-source/bridge-alliance-media-bias
Bridgemi.com,News Media,Center,https://www.bridgemi.com/,https://www.allsides.com/news-source/bridgemicom-media-bias
Bridging Divides Initiative,Think Tank / Policy Group,Center,https://bridgingdivides.princeton.edu/,https://www.allsides.com/news-source/bridging-divides-initiative-media-bias
Brookings Institution,Think Tank / Policy Group,Center,https://www.brookings.edu/,https://www.allsides.com/news-source/brookings-institute
Brown Girl Magazine,News Media,Left,https://browngirlmagazine.com/,https://www.allsides.com/news-source/brown-girl-magazine-media-bias
Brownstone Institute,News Media,Right,https://brownstone.org/,https://www.allsides.com/news-source/brownstone-institute-media-bias
Brush News-Tribune,News Media,Center,https://www.brushnewstribune.com/,https://www.allsides.com/news-source/brush-news-tribune-media-bias
Burlington County Times,News Media,Center,https://www.burlingtoncountytimes.com/,https://www.allsides.com/news-source/burlington-county-times-media-bias
Burlington Free Press,News Media,Center,https://www.burlingtonfreepress.com/,https://www.allsides.com/news-source/burlington-free-press-media-bias
Bustle,News Media,Lean Left,http://www.bustle.com/,https://www.allsides.com/news-source/bustle
BuzzFeed News,News Media,Left,http://buzzfeednews.com,https://www.allsides.com/news-source/buzzfeed-media-bias
Byron Donalds,News Media,Lean Right,https://www.byrondonalds.com/,https://www.allsides.com/news-source/byron-donalds-media-bias
C-SPAN,News Media,Center,http://www.c-span.org/,https://www.allsides.com/news-source/c-span
CalMatters,News Media,Center,http://calmatters.org/,https://www.allsides.com/news-source/calmatters
CalWatchdog,News Media,Center,http://www.calwatchdog.com/,https://www.allsides.com/news-source/calwatchdog
Cape Cod Times,News Media,Center,https://www.capecodtimes.com/,https://www.allsides.com/news-source/cape-cod-times-media-bias
Cape Gazette,News Media,Center,https://www.capegazette.com/,https://www.allsides.com/news-source/cape-gazette-media-bias
Capital & Main,News Media,Lean Left,https://capitalandmain.com/,https://www.allsides.com/news-source/capital-main-media-bias
Capital Research Center,Think Tank / Policy Group,Lean Right,https://capitalresearch.org/,https://www.allsides.com/news-source/capital-research-center-media-bias
Capitol Weekly,News Media,Center,https://capitolweekly.net/,https://www.allsides.com/news-source/capitol-weekly-media-bias-0
Care2,News Media,Left,http://www.care2.com,https://www.allsides.com/news-source/care-2
Carlsbad Current-Argus,News Media,Center,https://www.currentargus.com/,https://www.allsides.com/news-source/carlsbad-current-argus-media-bias
Carnegie Endowment for International Peace,Think Tank / Policy Group,Center,http://carnegieendowment.org,https://www.allsides.com/news-source/carnegie-endowment-international-peace
Carriage Towne News,News Media,Center,https://www.carriagetownenews.com/,https://www.allsides.com/news-source/carriage-towne-news
Casper Star-Tribune,News Media,Center,https://trib.com/,https://www.allsides.com/news-source/casper-star-tribune-media-bias
Catholic Digest,News Media,Lean Right,https://www.catholicdigest.com/,https://www.allsides.com/news-source/catholic-digest-media-bias
Catholic News Agency,News Media,Right,https://www.catholicnewsagency.com/,https://www.allsides.com/news-source/catholic-news-agency-media-bias
Catholic News Service,News Media,Center,https://catholicnews.com/,https://www.allsides.com/news-source/catholic-news-service-media-bias
Cato Institute,Think Tank / Policy Group,Lean Right,http://www.cato.org,https://www.allsides.com/news-source/cato-institute
CBC News,News Media,Lean Left,https://www.cbc.ca/,https://www.allsides.com/news-source/cbc-news-media-bias
CBN,News Media,Right,http://www1.cbn.com,https://www.allsides.com/news-source/cbn
CBS News (Online),News Media,Lean Left,http://www.cbsnews.com/,https://www.allsides.com/news-source/cbs-news-media-bias
Cecil Whig,News Media,Center,https://www.cecildaily.com/,https://www.allsides.com/news-source/cecil-whig-media-bias
Center For American Progress,Think Tank / Policy Group,Lean Left,http://www.americanprogress.org,https://www.allsides.com/news-source/center-american-progress
Center for Countering Digital Hate,Think Tank / Policy Group,Left,https://counterhate.com/,https://www.allsides.com/news-source/center-countering-digital-hate-media-bias
Center for Defense Information,,Lean Left,,https://www.allsides.com/news-source/center-defense-information
Center for Media & Democracy PR Watch,Think Tank / Policy Group,Lean Left,http://www.prwatch.org,https://www.allsides.com/news-source/center-media-democracy-pr-watch
Center for Public Integrity,News Media,Lean Left,http://www.publicintegrity.org/,https://www.allsides.com/news-source/center-public-integrity
Center for Responsive Politics,,Lean Left,,https://www.allsides.com/news-source/center-responsive-politics
Center for Strategic and Budgetary Assessments,Think Tank / Policy Group,Lean Right,,https://www.allsides.com/news-source/cent-strategic-and-budgetary-assessments
Center for Strategic and International Studies,,Center,,https://www.allsides.com/news-source/center-strategic-and-international-studies
Center on Budget and Policy Priorities,Think Tank / Policy Group,Left,http://www.cbpp.org,https://www.allsides.com/news-source/center-budget-and-policy-priorities-0
Center Post Dispatch,News Media,Center,https://centerpostdispatch.com/,https://www.allsides.com/news-source/center-post-dispatch-media-bias
Centre View,News Media,Lean Left,http://www.centre-view.com,https://www.allsides.com/news-source/centre-view
Chalkbeat,News Media,Center,https://www.chalkbeat.org/,https://www.allsides.com/news-source/chalkbeat-media-bias
Charisma Magazine,News Media,Right,https://www.charismamag.com/,https://www.allsides.com/news-source/charisma-magazine-media-bias
Charleston City Paper,News Media,Center,https://charlestoncitypaper.com/,https://www.allsides.com/news-source/charleston-city-paper-media-bias
Chattanooga Times Free Press,News Media,Center,https://www.timesfreepress.com/,https://www.allsides.com/news-source/chattanooga-times-free-press-media-bias
Check Your Fact,Fact Check,Center,https://checkyourfact.com/,https://www.allsides.com/news-source/check-your-fact-media-bias
Chicago Booth Initiative on Global Markets,Reference,Mixed,http://www.igmchicago.org/,https://www.allsides.com/news-source/chicago-booth
Chicago Crusader,News Media,Left,https://chicagocrusader.com/,https://www.allsides.com/news-source/chicago-crusader-media-bias
Chicago Defender,News Media,Left,https://chicagodefender.com/,https://www.allsides.com/news-source/chicago-defender-media-bias
Chicago Sun-Times,News Media,Lean Left,http://chicago.suntimes.com/,https://www.allsides.com/news-source/chicago-sun-times
Chicago Tribune,News Media,Center,http://www.chicagotribune.com/,https://www.allsides.com/news-source/chicago-tribune
Children’s Defense Fund,Think Tank / Policy Group,Left,http://www.childrensdefense.org,https://www.allsides.com/news-source/childrens-defense-fund
Christian Coalition,,Lean Right,,https://www.allsides.com/news-source/christian-coalition
Christian Coalition of America,News Media,Lean Right,https://cc.org/,https://www.allsides.com/news-source/christian-coalition-america-media-bias
Christian Headlines,News Media,Center,https://www.christianheadlines.com/,https://www.allsides.com/news-source/christian-headlines-media-bias
Christian News Network,News Media,Right,https://christiannews.net/,https://www.allsides.com/news-source/christian-news-network-media-bias
Christian News Now,News Media,Lean Right,https://christiannewsnow.com/,https://www.allsides.com/news-source/christian-news-now-media-bias
Christian Science Monitor,News Media,Center,http://www.csmonitor.com/,https://www.allsides.com/news-source/christian-science-monitor
Christianity Today,News Media,Lean Right,http://www.christianitytoday.com/,https://www.allsides.com/news-source/christianity-today-media-bias
Church Militant,News Media,Right,https://www.churchmilitant.com/,https://www.allsides.com/news-source/church-militant-media-bias
ChurchLeaders.com,News Media,Center,https://churchleaders.com/,https://www.allsides.com/news-source/churchleaderscom-media-bias
Cincinnati Enquirer,News Media,Center,https://www.cincinnati.com/,https://www.allsides.com/news-source/cincinnati-enquirer-media-bias
Citizen Connect,Dialogue & Debate,Mixed,https://citizenconnect.us/,https://www.allsides.com/news-source/citizen-connect-media-bias
Citizens Against Government Waste,,Lean Right,,https://www.allsides.com/news-source/citizens-against-government-waste
Citizens for Tax Justice,,Left,,https://www.allsides.com/news-source/citizens-tax-justice
City Journal,News Media,Right,http://www.city-journal.org,https://www.allsides.com/news-source/city-journal-media-bias
Civic Genius,Think Tank / Policy Group,Center,https://www.ourcivicgenius.org/,https://www.allsides.com/news-source/civic-genius-media-bias
Civic Health Project,Think Tank / Policy Group,Center,https://www.civichealthproject.org/,https://www.allsides.com/news-source/civic-health-project-media-bias
Civil Squared,Think Tank / Policy Group,Lean Left,https://civilsquared.org/,https://www.allsides.com/news-source/civil-squared-media-bias
CivilPolitics.org,Think Tank / Policy Group,Center,http://www.civilpolitics.org/,https://www.allsides.com/news-source/civilpoliticsorg
Clarksdale Press Register,News Media,Center,https://www.pressregister.com/,https://www.allsides.com/news-source/clarksdale-press-register-media-bias
Cleveland Plain Dealer,News Media,Center,http://cleveland.com/,https://www.allsides.com/news-source/cleveland-plain-dealer-media-bias
Clinton Herald,News Media,Center,https://www.clintonherald.com/,https://www.allsides.com/news-source/clinton-herald-media-bias
CNBC,News Media,Center,http://cnbc.com,https://www.allsides.com/news-source/cnbc
CNET,News Media,Center,http://www.cnet.com,https://www.allsides.com/news-source/cnet
CNN (Online News),News Media,Lean Left,http://www.cnn.com,https://www.allsides.com/news-source/cnn-media-bias
CNN (Opinion),News Media,Left,https://www.cnn.com/opinions,https://www.allsides.com/news-source/cnn-editorial
CNN Business,News Media,Lean Left,https://www.cnn.com/business,https://www.allsides.com/news-source/cnn-business-media-bias
CNN Fact Check,Fact Check,Left,https://www.cnn.com/specials/politics/fact-check-politics,https://www.allsides.com/news-source/facts-first-cnn-media-bias
CNSNews.com,News Media,Right,http://cnsnews.com/,https://www.allsides.com/news-source/cnsnewscom
Cody Enterprise,News Media,Center,https://www.codyenterprise.com/,https://www.allsides.com/news-source/cody-enterprise-media-bias
Coffee Party USA,Think Tank / Policy Group,Center,https://coffeepartyusa.com/,https://www.allsides.com/news-source/coffee-party-usa-media-bias
CoinDesk,News Media,Center,https://www.coindesk.com/,https://www.allsides.com/news-source/coindesk-media-bias
Colorado Springs Gazette,News Media,Center,http://gazette.com/,https://www.allsides.com/news-source/colorado-springs-gazette
Columbia Daily Tribune,News Media,Center,https://www.columbiatribune.com/,https://www.allsides.com/news-source/columbia-daily-tribune-media-bias
Columbia Journalism Review,News Media,Center,http://www.cjr.org/index.php,https://www.allsides.com/news-source/columbia-journalism-review
Columbia Missourian,News Media,Center,https://www.columbiamissourian.com/news/,https://www.allsides.com/news-source/columbia-missourian-media-bias
Comedy Central,Humor & Satire,Lean Left,http://www.cc.com/,https://www.allsides.com/news-source/comedy-central-media-bias
Commentary Magazine,News Media,Right,https://www.commentary.org/,https://www.allsides.com/news-source/commentary-magazine-media-bias
Commerce City Sentinel Express,News Media,Center,https://commercecitysentinel.com/,https://www.allsides.com/news-source/commerce-city-sentinel-express-media-bias
Committee to Protect Journalists,Think Tank / Policy Group,Center,,https://www.allsides.com/news-source/committee-protect-journalists-media-bias
Common Cause,,Lean Left,,https://www.allsides.com/news-source/common-cause
Common Dreams,News Media,Left,https://www.commondreams.org/,https://www.allsides.com/news-source/common-dreams-media-bias
Common Ground Committee,Think Tank / Policy Group,Center,https://commongroundcommittee.org/,https://www.allsides.com/news-source/common-ground-committee-media-bias
Complex,News Media,Center,https://www.complex.com/,https://www.allsides.com/news-source/complex-media-bias
Concord Monitor,News Media,Center,http://www.concordmonitor.com/,https://www.allsides.com/news-source/concord-monitor
Connecticut Post,News Media,Center,https://www.ctpost.com/,https://www.allsides.com/news-source/connecticut-post-media-bias
Conservative HQ,News Media,Right,http://www.conservativehq.com/,https://www.allsides.com/news-source/conservative-hq
Consider This from NPR,Podcast,Lean Left,https://www.npr.org/podcasts/510355/considerthis,https://www.allsides.com/news-source/consider-npr-media-bias
Consumer Federation of America,,Left,,https://www.allsides.com/news-source/consumer-federation-america
Cook Report,News Media,Center,http://cookpolitical.com,https://www.allsides.com/news-source/cook-report
Corvallis Gazette-Times,News Media,Center,https://www.gazettetimes.com/,https://www.allsides.com/news-source/corvallis-gazette-times-media-bias
Council on Foreign Relations,Think Tank / Policy Group,Left,http://www.cfr.org,https://www.allsides.com/news-source/council-foreign-relations
Countable,Reference,Center,https://www.countable.us,https://www.allsides.com/news-source/countable-media-bias
Counter Currents,News Media,Lean Left,http://www.countercurrents.org/,https://www.allsides.com/news-source/counter-currents
Counter Pointing,Dialogue & Debate,Mixed,http://www.counterpointing.com,https://www.allsides.com/news-source/counter-pointing
Counterpointing,News Media,Mixed,http://www.counterpointing.com/,https://www.allsides.com/news-source/counterpointing
Courier-Post,News Media,Center,https://www.courierpostonline.com/,https://www.allsides.com/news-source/courier-post-media-bias
Cowboy State Daily,News Media,Lean Right,https://cowboystatedaily.com/,https://www.allsides.com/news-source/cowboy-state-daily-media-bias
CrowdPAC,News Media,Center,https://www.crowdpac.com/,https://www.allsides.com/news-source/crowdpac
Crunchbase News,News Media,Center,https://news.crunchbase.com/,https://www.allsides.com/news-source/crunchbase-news-media-bias
CU Independent,News Media,Center,http://cuindependent.com/,https://www.allsides.com/news-source/cu-independent
Cumberland Times-News,News Media,Center,https://www.times-news.com/,https://www.allsides.com/news-source/cumberland-times-news-media-bias
Current Affairs,News Media,Left,https://www.currentaffairs.org,https://www.allsides.com/news-source/current-affairs-media-bias
Daily Beast,News Media,Left,http://www.thedailybeast.com/,https://www.allsides.com/news-source/daily-beast-media-bias
Daily Breeze,News Media,Center,https://www.dailybreeze.com/,https://www.allsides.com/news-source/daily-breeze-media-bias
Daily Cardinal,News Media,Center,http://www.dailycardinal.com/,https://www.allsides.com/news-source/daily-cardinal
Daily Chela,News Media,Left,https://www.dailychela.com/,https://www.allsides.com/news-source/daily-chela-media-bias
Daily Citizen,News Media,Right,https://dailycitizen.focusonthefamily.com/,https://www.allsides.com/news-source/daily-citizen-media-bias
Daily Corinthian,News Media,Center,https://www.dailycorinthian.com/,https://www.allsides.com/news-source/daily-corinthian-media-bias
Daily Journal,News Media,Center,https://www.djournal.com/,https://www.allsides.com/news-source/daily-journal-media-bias
Daily Kos,News Media,Left,http://www.dailykos.com,https://www.allsides.com/news-source/daily-kos
Daily Mail,News Media,Right,http://dailymail.co.uk,https://www.allsides.com/news-source/daily-mail
Daily Memphian,News Media,Center,https://dailymemphian.com,https://www.allsides.com/news-source/daily-memphian-media-bias
Daily News-Record,News Media,Center,https://www.dnronline.com/,https://www.allsides.com/news-source/daily-news-record-media-bias
Daily Norseman,News Media,Center,https://www.dailynorseman.com/,https://www.allsides.com/news-source/daily-norseman-media-bias
Daily Northwestern,News Media,Lean Left,http://dailynorthwestern.com/,https://www.allsides.com/news-source/daily-northwestern
Daily Press,News Media,Lean Right,http://www.dailypress.com,https://www.allsides.com/news-source/daily-press
