,participant_A,participant_B
318,11890741,11907112
319,11890942,11892182
320,11890201,11890700
321,11890065,11907431
322,11890696,11891966
323,11890119,11890227
324,11890430,11890966
325,11890200,11890282
326,11889650,11891269
327,11890269,11890820
328,11890205,11891007
329,11891127,11891726
330,11890365,11890548
331,11890084,11890920
332,11890850,11891810
333,11890221,11890586
334,11890106,11890156
335,11889665,11890978
336,11890289,11890523
337,11890253,11890879
338,11890134,11891143
339,11890099,11890857
340,11890220,11890552
341,11890079,11890118
342,11890068,11890416
343,11890960,11891314
344,11907111,11907112
345,11889645,11890389
346,11890720,11890745
347,11890155,11890745
348,11890869,11891094
349,11890168,11890770
350,11890502,11890902
351,11890215,11890675
352,11890099,11890552
353,11890285,11890730
354,11890146,11890330
355,11890262,11890573
356,11890086,11891218
357,11890224,11890319
358,11890801,11891981
359,11890675,11890805
360,11890709,11891973
361,11890143,11890750
362,11890700,11891280
363,11890253,11890284
364,11890394,11890744
365,11890750,11890946
366,11890142,11890389
367,11890144,11907089
368,11890189,11890272
369,11890578,11890753
370,11890155,11890351
371,11890510,11891793
372,11890147,11891956
373,11890249,11890389
374,11890312,11890959
375,11890437,11907133
376,11890879,11891140
377,11889651,11891187
378,11890707,11891187
379,11890269,11890991
380,11890300,11892163
381,11890804,11891198
382,11890171,11890328
383,11890453,11890475
384,11890261,11892250
385,11889651,11890983
386,11890501,11890578
387,11890346,11890874
388,11890253,11890433
389,11890330,11890744
390,11890072,11890155
391,11890367,11890700
392,11890457,11890490
393,11890148,11890967
394,11890868,11891231
395,11891039,11891187
396,11890211,11891039
397,11890108,11890156
398,11890734,11890770
399,11890058,11890111
400,11890720,11890870
401,11890366,11890734
402,11890086,11891797
403,11890086,11890192
404,11890699,11890707
405,11890159,11890457
406,11890253,11890368
407,11890192,11890402
408,11890741,11891002
409,11890062,11890745
410,11890204,11890223
411,11890113,11890323
412,11890211,11890617
413,11890146,11890868
414,11890159,11890378
415,11890619,11891181
416,11889665,11889688
417,11890097,11890174
418,11889650,11890172
419,11890416,11907098
420,11890173,11892037
421,11890220,11890909
422,11891325,11907089
423,11890262,11890594
424,11890127,11891759
425,11890453,11890705
426,11890956,11892250
427,11890670,11891028
428,11890197,11890253
429,11890160,11890389
430,11890541,11891206
431,11890259,11890744
432,11890180,11890942
433,11890075,11890299
434,11890545,11890874
435,11889688,11891212
436,11891926,11907118
437,11890473,11892208
438,11890282,11891314
439,11890200,11891134
440,11890077,11891797
441,11890106,11891187
442,11890323,11890694
443,11890111,11890668
444,11890668,11891158
445,11890114,11891725
446,11890201,11890255
447,11890220,11890997
448,11890858,11891002
449,11890879,11890966
450,11890192,11891787
451,11889654,11890113
452,11890869,11891726
453,11890368,11890619
454,11890106,11890368
455,11890740,11891082
456,11890453,11892213
457,11890468,11891206
458,11890557,11890844
459,11890400,11890529
460,11890354,11892178
461,11889665,11890163
462,11890174,11890907
463,11890259,11890579
464,11890209,11890478
465,11890168,11890635
466,11890123,11890261
467,11890119,11890406
468,11891228,11891325
469,11890075,11890367
470,11889650,11890477
471,11891218,11892195
472,11890612,11890690
473,11890306,11891249
474,11890205,11890354
475,11890540,11890858
476,11890125,11890522
477,11890879,11890887
478,11890428,11907133
479,11891270,11907118
480,11890147,11891002
481,11890227,11890240
482,11892172,11907136
483,11890409,11890844
484,11890591,11891274
485,11890272,11891173
486,11890171,11891727
487,11890277,11891147
488,11890105,11890518
489,11890155,11890864
490,11891325,11907136
491,11890502,11891759
492,11890078,11890655
493,11890183,11891926
494,11890997,11891002
495,11890295,11890805
496,11890065,11907093
497,11890423,11907111
498,11890618,11890697
499,11890365,11890670
500,11890059,11891011
501,11890192,11891039
502,11890287,11891981
503,11890183,11891270
504,11890354,11890724
505,11890063,11890193
506,11890502,11891770
507,11890183,11890734
508,11890245,11890861
509,11890240,11890855
510,11890224,11891080
511,11891173,11891206
512,11890320,11891034
513,11890077,11891270
514,11890299,11890812
515,11890125,11890215
516,11890540,11890850
517,11890196,11891086
518,11890298,11890820
519,11891926,11907093
520,11890342,11892163
521,11891341,11891742
522,11890430,11892037
523,11890320,11907133
524,11890319,11890942
525,11890272,11890942
526,11889644,11890244
527,11890255,11890510
528,11889645,11890415
529,11890330,11890923
530,11891024,11891730
531,11890579,11891810
532,11890158,11891007
533,11890495,11890858
534,11890243,11890558
535,11890323,11891110
536,11890567,11892201
537,11890198,11890607
538,11890287,11890641
539,11890121,11891961
540,11890398,11890919
541,11890243,11892065
542,11890279,11890983
543,11890111,11890720
544,11890797,11891322
545,11890920,11907089
546,11890511,11891030
547,11890277,11891216
548,11890209,11890490
549,11890363,11907178
550,11890390,11890902
551,11890204,11891777
552,11890428,11891777
553,11890380,11890587
554,11891039,11892172
555,11889718,11890113
556,11890573,11907112
557,11890064,11891730
558,11890204,11891810
559,11890118,11890956
560,11890120,11890978
561,11890094,11890701
562,11890328,11890619
563,11889645,11890558
564,11890552,11890919
565,11890089,11890923
566,11890272,11890767
567,11890068,11891997
568,11890111,11890709
569,11890314,11907112
570,11891030,11891115
571,11890111,11890205
572,11890548,11891094
573,11890245,11890868
574,11890193,11890282
575,11890478,11890990
576,11890285,11891011
577,11890074,11890127
578,11890520,11891047
579,11890157,11890189
580,11890382,11890520
581,11890215,11890337
582,11889645,11890696
583,11890078,11890253
584,11890382,11891158
585,11890991,11891966
586,11889643,11890541
587,11890100,11891216
588,11890402,11892172
589,11891997,11907133
590,11890160,11890430
591,11890086,11890685
592,11890113,11890423
593,11890698,11891797
594,11890652,11891797
595,11890228,11890327
596,11890102,11890125
597,11890354,11892037
598,11891025,11891060
599,11890312,11891206
600,11890091,11890289
601,11890490,11890992
602,11890655,11891011
603,11890324,11890495
604,11890329,11891060
605,11890180,11890709
606,11890707,11890869
607,11889665,11889684
608,11890376,11890402
609,11890697,11891153
610,11890237,11891100
611,11890495,11890789
612,11890183,11890920
613,11890132,11890685
614,11890160,11890545
615,11890127,11892045
616,11890118,11890182
617,11890273,11890382
618,11890084,11890617
619,11890226,11890407
620,11890919,11892169
621,11890094,11890789
622,11890209,11891759
623,11890724,11891198
624,11890313,11892079
625,11890418,11890920
626,11890279,11891082
627,11890745,11891274
628,11890156,11890548
629,11890173,11890607
630,11890118,11890541
631,11890064,11890965
632,11890088,11891966
633,11891100,11907118
634,11890720,11890874
635,11890295,11890470
636,11890549,11890707
637,11890327,11890690
638,11890106,11891198
639,11890454,11890734
640,11890282,11890402
641,11890277,11891173
642,11890204,11890734
643,11890261,11891030
644,11890433,11891140
645,11890125,11890552
646,11890099,11890251
647,11891325,11892205
648,11890724,11890750
649,11890221,11890753
650,11890166,11890482
651,11890575,11907178
652,11890244,11890253
653,11890750,11890805
654,11890100,11890272
655,11890775,11891039
656,11890285,11891261
657,11890108,11891249
658,11889718,11907116
659,11890154,11890289
660,11890059,11890354
661,11891218,11892250
662,11890378,11892214
663,11890482,11891341
664,11891140,11891758
665,11890114,11892037
666,11890109,11892214
667,11890119,11890129
668,11890191,11891970
669,11890956,11891028
670,11889665,11890339
671,11891797,11891970
672,11890269,11890323
673,11890302,11891115
674,11890157,11890369
675,11889718,11892183
676,11891797,11891926
677,11890125,11890675
678,11889688,11890490
679,11890552,11890861
680,11890298,11890454
681,11890669,11891944
682,11889654,11890673
683,11890690,11891762
684,11890545,11891143
685,11890215,11890811
686,11890299,11890389
687,11890245,11891134
688,11891762,11892208
689,11890844,11890865
690,11890365,11890398
691,11890166,11890265
692,11890460,11907089
693,11890148,11890690
694,11890109,11892194
695,11890312,11890992
696,11891314,11907098
697,11890113,11892045
698,11890784,11891173
699,11890313,11890801
700,11890518,11890857
701,11889643,11890619
702,11890857,11907109
703,11890869,11890983
704,11890652,11891793
705,11890062,11890367
706,11890433,11890805
707,11890422,11890518
708,11890380,11891002
709,11890342,11890482
710,11890096,11890196
711,11890300,11891173
712,11890598,11890709
713,11890685,11890814
714,11890700,11890767
715,11890089,11891134
716,11890210,11890548
717,11890804,11892054
718,11890285,11892051
719,11890226,11907109
720,11890063,11892172
721,11891086,11891094
722,11890269,11890892
723,11889651,11890883
724,11890177,11890346
725,11890125,11890978
726,11890063,11890151
727,11891725,11892250
728,11890619,11891249
729,11890861,11891269
730,11890820,11891762
731,11890273,11890892
732,11890361,11891314
733,11890219,11890820
734,11890371,11891212
735,11890396,11890720
736,11890482,11892194
737,11890150,11890740
738,11890329,11891212
739,11890371,11890575
740,11890354,11890749
741,11890406,11890433
742,11890274,11890697
743,11890102,11890308
744,11890475,11890549
745,11890227,11890573
746,11890106,11890229
747,11890058,11890177
748,11890122,11891115
749,11890255,11890273
750,11891034,11891261
751,11890157,11892003
752,11890094,11890652
753,11890745,11890848
754,11890244,11890612
755,11890558,11890971
756,11890573,11890920
757,11890075,11890565
758,11890694,11890700
759,11890102,11891047
760,11890237,11890369
761,11890696,11890960
762,11890339,11890398
763,11890697,11890811
764,11890811,11891973
765,11890148,11890214
766,11891787,11891973
767,11890159,11892067
768,11890210,11890460
769,11890129,11891941
770,11891742,11891961
771,11890328,11890805
772,11890482,11890983
773,11891216,11891335
774,11891203,11892214
775,11890382,11890586
776,11890797,11891269
777,11907089,11907431
778,11891787,11891797
779,11890670,11891002
780,11890298,11890329
781,11890167,11890983
782,11890106,11890173
783,11892250,11907111
784,11890720,11891158
785,11890089,11890594
786,11890059,11890594
787,11890142,11891777
788,11890576,11890883
789,11890548,11890820
790,11889688,11907431
791,11890573,11891030
792,11890064,11890409
793,11890302,11892201
794,11890114,11890700
795,11890156,11890705
796,11892003,11892051
797,11890306,11890734
798,11890144,11891198
799,11890062,11891787
800,11890144,11891926
801,11890089,11892195
802,11890262,11891274
803,11891245,11891770
804,11890205,11891140
805,11890194,11890295
806,11890271,11891158
807,11890668,11907089
808,11890549,11890946
809,11890376,11890518
810,11890200,11891082
811,11890063,11890374
812,11890669,11891810
813,11890302,11890482
814,11889684,11890253
815,11890126,11890565
816,11891218,11891231
817,11890272,11891961
818,11890594,11890685
819,11890078,11890995
820,11889652,11890262
821,11890088,11890156
822,11890814,11891777
823,11890524,11907431
824,11890059,11891020
825,11890415,11891314
826,11889654,11890709
827,11890193,11907111
828,11890146,11890259
829,11890096,11890368
830,11890402,11890423
831,11890271,11891730
832,11890109,11890323
833,11890789,11891127
834,11890770,11891732
835,11890229,11890594
836,11890522,11890575
837,11891115,11891274
838,11890224,11890331
839,11890320,11907178
840,11890185,11890612
841,11890094,11890096
842,11890147,11890473
843,11889643,11890198
844,11890724,11890805
845,11890099,11891777
846,11890111,11890211
847,11890064,11890119
848,11891341,11907116
849,11891115,11891787
850,11890148,11891115
851,11890363,11891270
852,11890065,11891039
853,11889649,11890159
854,11890174,11891726
855,11890068,11890126
856,11890228,11890675
857,11890482,11890745
858,11891147,11891269
859,11890457,11890820
860,11890265,11890907
861,11890154,11891944
862,11890440,11890477
863,11890484,11890698
864,11890125,11891181
865,11890262,11890482
866,11890402,11890477
867,11890844,11892051
868,11890183,11890273
869,11890351,11890705
870,11890160,11890749
871,11890058,11890567
872,11890082,11890149
873,11890518,11891110
874,11891727,11892205
875,11890618,11890892
876,11890094,11892022
877,11890201,11891094
878,11890306,11890478
879,11890378,11890959
880,11890108,11891793
881,11890960,11892079
882,11891270,11891970
883,11890182,11890548
884,11890107,11890117
885,11890920,11892163
886,11890394,11890971
887,11890082,11891203
888,11890366,11891216
889,11890394,11891024
890,11890460,11890490
891,11890108,11890987
892,11890618,11890698
893,11889652,11890784
894,11890245,11892195
895,11890064,11890320
896,11890767,11890864
897,11889651,11890690
898,11890437,11892022
899,11891007,11891325
900,11890127,11890166
901,11890374,11891216
902,11890536,11890705
903,11890337,11890422
904,11891127,11891212
905,11890670,11890700
906,11890097,11890400
907,11890126,11892045
908,11890334,11907178
909,11890313,11890418
910,11890149,11892051
911,11891926,11891944
912,11890074,11892037
913,11890366,11890549
914,11891762,11891973
915,11890586,11890724
916,11890172,11890850
917,11890371,11891314
918,11890072,11891212
919,11890271,11890380
920,11889651,11890159
921,11890125,11890331
922,11890997,11891725
923,11890227,11890609
924,11890861,11890990
925,11890256,11890707
926,11890269,11890865
927,11890216,11890797
928,11890427,11890670
929,11891314,11891944
930,11891249,11892205
931,11890274,11891325
932,11890635,11890857
933,11890775,11891742
934,11890858,11891187
935,11890363,11890641
936,11890460,11891249
937,11890324,11891173
938,11890058,11892079
939,11890470,11890490
940,11890699,11891181
941,11890068,11892182
942,11890656,11891926
943,11890696,11890784
944,11890244,11890251
945,11890167,11890920
946,11890156,11890869
947,11890804,11891218
948,11890251,11890558
949,11890820,11907089
950,11890698,11890707
951,11890244,11890594
952,11890191,11890210
953,11890155,11890647
954,11890086,11890797
955,11890945,11892194
956,11890185,11890699
957,11890342,11890967
958,11890244,11890745
959,11890586,11907152
960,11890109,11890433
961,11890204,11890274
962,11890173,11890221
963,11890310,11891973
964,11890214,11890579
965,11890966,11891198
966,11890454,11890874
967,11890298,11890749
968,11890295,11890960
969,11889644,11890701
970,11890089,11891966
971,11890749,11890990
972,11890114,11890659
973,11890200,11890385
974,11890700,11907118
975,11890366,11890402
976,11890160,11907116
977,11890789,11892051
978,11889688,11891249
979,11907112,11907118
980,11890197,11890369
981,11890484,11891245
982,11890173,11890228
983,11890065,11890210
984,11891011,11891997
985,11890694,11891216
986,11890251,11890992
987,11890132,11891337
988,11890154,11890529
989,11890094,11891731
990,11890228,11890300
991,11890111,11891025
992,11890731,11891140
993,11890094,11890271
994,11890635,11890797
995,11890059,11890697
996,11890579,11891212
997,11890432,11890619
998,11890167,11890811
999,11890319,11891212
1000,11890226,11890313
1001,11890118,11891322
1002,11890510,11890821
1003,11890784,11891127
1004,11890406,11891173
1005,11890484,11891762
1006,11890477,11891060
1007,11889654,11891335
1008,11890374,11891025
1009,11890687,11892194
1010,11890196,11890659
1011,11890374,11891269
1012,11890475,11890669
1013,11890635,11892051
1014,11890114,11892051
1015,11890618,11890887
1016,11890371,11907093
1017,11890342,11890647
1018,11890174,11890868
1019,11890109,11890339
1020,11891228,11907089
1021,11890440,11891028
1022,11890255,11890300
1023,11890346,11892003
1024,11890279,11890699
1025,11890409,11890470
1026,11890215,11891970
1027,11891314,11892182
1028,11890319,11891038
1029,11890668,11890887
1030,11890641,11907111
1031,11890669,11890705
1032,11890209,11890855
1033,11890160,11890697
1034,11890109,11890549
1035,11890363,11890437
1036,11890342,11890409
1037,11890369,11890378
1038,11890612,11891080
1039,11891218,11907111
1040,11890997,11891759
1041,11890740,11890987
1042,11890475,11890552
1043,11889688,11890363
1044,11890100,11890339
1045,11890673,11891136
1046,11890193,11890279
1047,11890084,11891203
1048,11889651,11890812
1049,11891047,11891944
1050,11890171,11890194
1051,11890770,11907171
1052,11890111,11890548
1053,11890520,11892183
1054,11890129,11891115
1055,11890142,11890175
1056,11891770,11892051
1057,11890086,11890749
1058,11890879,11907089
1059,11890082,11890154
1060,11890102,11890166
1061,11890111,11890330
1062,11889649,11890887
1063,11890440,11890855
1064,11890182,11890211
1065,11891047,11891322
1066,11889688,11890861
1067,11890096,11890942
1068,11890709,11890775
1069,11890072,11907112
1070,11890700,11891270
1071,11890251,11890484
1072,11890453,11890701
1073,11890698,11890850
1074,11890300,11890520
1075,11892045,11907136
1076,11890520,11907178
1077,11890674,11891198
1078,11890415,11907133
1079,11890575,11891762
1080,11890171,11891039
1081,11890059,11890502
1082,11890094,11890134
1083,11891966,11892182
1084,11890155,11890744
1085,11890118,11890724
1086,11890160,11890619
1087,11889688,11890565
1088,11890536,11891127
1089,11890454,11890591
1090,11890097,11890740
1091,11890163,11890870
1092,11890063,11890855
1093,11890295,11891261
1094,11890619,11890990
1095,11890193,11890342
1096,11890219,11890699
1097,11890160,11890173
1098,11890900,11892169
1099,11890558,11890868
1100,11890578,11891047
1101,11889651,11890539
1102,11890415,11892208
1103,11889718,11890502
1104,11890118,11890228
1105,11891158,11891198
1106,11890216,11890306
1107,11890898,11907111
1108,11890422,11907109
1109,11890154,11890277
1110,11890094,11890107
1111,11891997,11907171
1112,11891136,11907133
1113,11890406,11892250
1114,11890575,11890670
1115,11890126,11890416
1116,11890368,11892037
1117,11890172,11890552
1118,11890272,11891322
1119,11889684,11891956
1120,11890118,11890261
1121,11890820,11891944
1122,11890107,11891973
1123,11891082,11891147
1124,11890351,11890422
1125,11890142,11890612
1126,11891181,11891970
1127,11890245,11891024
1128,11890417,11891249
1129,11890820,11890844
1130,11890775,11890874
1131,11890111,11890892
1132,11890277,11891158
1133,11890174,11891231
1134,11890132,11890965
1135,11890635,11890674
1136,11890189,11890701
1137,11890302,11890368
1138,11890685,11907109
1139,11890415,11907118
1140,11890151,11890698
1141,11890548,11891997
1142,11889684,11890243
1143,11890641,11891143
1144,11890256,11890298
1145,11890156,11890468
1146,11890380,11890685
1147,11890422,11890691
1148,11907089,11907136
1149,11889688,11890284
1150,11890147,11890619
1151,11890220,11890919
1152,11890675,11891956
1153,11892022,11907118
1154,11889654,11890111
1155,11889650,11890265
1156,11890277,11891153
1157,11890342,11890586
1158,11890064,11890490
1159,11890160,11907112
1160,11890122,11890619
1161,11890579,11891038
1162,11890475,11891094
1163,11890473,11890855
1164,11890473,11891034
1165,11890244,11891970
1166,11890406,11891011
1167,11890351,11890707
1168,11890173,11891810
1169,11890122,11890211
1170,11890328,11890659
1171,11890119,11892208
1172,11890094,11890273
1173,11890427,11890674
1174,11890707,11890730
1175,11890155,11890163
1176,11890163,11890579
1177,11890185,11890675
1178,11889718,11890063
1179,11889665,11891269
1180,11890284,11890361
1181,11890529,11892054
1182,11890077,11891758
1183,11891198,11891274
1184,11890389,11891212
1185,11890368,11891322
1186,11890385,11891127
1187,11890696,11890861
1188,11890205,11890243
1189,11890229,11890775
1190,11890749,11892178
1191,11890804,11891136
1192,11891127,11892214
1193,11890416,11890864
1194,11890219,11890690
1195,11890193,11892224
1196,11890269,11890306
1197,11890194,11890299
1198,11890279,11890365
1199,11890709,11890731
1200,11890253,11891038
1201,11890312,11890382
1202,11890310,11892178
1203,11890158,11891140
1204,11890156,11891147
1205,11890243,11890868
1206,11890374,11891245
1207,11890210,11890265
1208,11890271,11890770
1209,11890820,11907133
1210,11890720,11892045
1211,11890240,11890314
1212,11890144,11890978
1213,11891008,11907171
1214,11890586,11890696
1215,11890390,11890579
1216,11889644,11892172
1217,11890346,11890749
1218,11890171,11890390
1219,11890245,11907098
1220,11890430,11890587
1221,11890147,11890609
1222,11890567,11890811
1223,11890146,11890160
1224,11890255,11891269
1225,11890879,11890919
1226,11890255,11907118
1227,11890101,11890978
1228,11890767,11892205
1229,11890172,11890390
1230,11890183,11890428
1231,11890064,11890223
1232,11890086,11890453
1233,11890655,11890709
1234,11890548,11890707
1235,11890240,11892067
1236,11890205,11891725
1237,11890368,11890540
1238,11890237,11891941
1239,11890094,11890647
1240,11890396,11890675
1241,11890329,11890390
1242,11890609,11891777
1243,11890991,11891025
1244,11890997,11907118
1245,11890079,11890618
1246,11890143,11891080
1247,11890134,11890619
1248,11890674,11891147
1249,11889644,11890470
1250,11890428,11890687
1251,11890501,11890858
1252,11890064,11890107
1253,11890227,11890390
1254,11889651,11890997
1255,11890174,11892003
1256,11890789,11892182
1257,11891030,11907133
1258,11890380,11890983
1259,11890518,11891143
1260,11890094,11890991
1261,11890870,11890965
1262,11890522,11891810
1263,11890945,11892054
1264,11890201,11890371
1265,11890180,11890274
1266,11890072,11891143
1267,11890579,11891730
1268,11891110,11907171
1269,11890313,11890437
1270,11890656,11890978
1271,11890567,11891030
1272,11890075,11890690
1273,11890126,11907093
1274,11890107,11890548
1275,11890652,11907111
1276,11890249,11890874
1277,11892172,11907152
1278,11890339,11890609
1279,11890111,11891245
1280,11890262,11891212
1281,11890088,11890575
1282,11890269,11892024
1283,11890591,11891203
1284,11890581,11890919
1285,11890122,11890158
1286,11889644,11890607
1287,11890271,11890720
1288,11890096,11890495
1289,11890327,11890900
1290,11890910,11890997
1291,11890475,11890576
1292,11890166,11891216
1293,11890656,11890991
1294,11890068,11890196
1295,11890197,11890371
1296,11890077,11891181
1297,11890166,11890201
1298,11890175,11891198
1299,11891024,11891136
1300,11890084,11890641
1301,11890865,11890874
1302,11890182,11890923
1303,11889688,11890946
1304,11890157,11890308
1305,11891941,11907098
1306,11891261,11892024
1307,11890091,11890196
1308,11890490,11891325
1309,11890062,11890072
1310,11890193,11890402
1311,11890470,11890749
1312,11889644,11891034
1313,11890749,11890965
1314,11890484,11890558
1315,11890253,11890920
1316,11890127,11890767
1317,11889654,11890432
1318,11890271,11892194
1319,11890402,11891187
1320,11890308,11891110
1321,11890240,11890902
1322,11890971,11891094
1323,11890259,11890406
1324,11890919,11892067
1325,11890868,11891322
1326,11890075,11891322
1327,11890502,11892178
1328,11890091,11890204
1329,11889649,11891941
1330,11890334,11890997
1331,11890229,11890978
1332,11890363,11890879
1333,11890418,11890753
1334,11890158,11891797
1335,11890189,11890655
1336,11890598,11907171
1337,11890172,11890312
1338,11890749,11892194
1339,11890821,11891007
1340,11890454,11891270
1341,11890647,11891726
1342,11890495,11892037
1343,11890269,11890883
1344,11890697,11890861
1345,11890089,11890091
1346,11890214,11890233
1347,11890237,11890502
1348,11890256,11890262
1349,11890302,11890363
1350,11890062,11891314
1351,11890518,11890844
1352,11890690,11890814
1353,11890129,11907112
1354,11890224,11890923
1355,11890289,11890398
1356,11890396,11890407
1357,11889644,11890423
1358,11890879,11891732
1359,11890088,11890820
1360,11890196,11892054
